holderAddress,balance
0x00000738eE284aAA98A0D511cbd655a1e9d653Cd,49623765170219792452263
0x5C5020a859662bd7D44c51227AC972ECCe63B0DA,1543701386609527519744390
0x36e0eDc88cD1902F189aC922a4401CF4F389A110,0
0xC3373905F94e16035f7E01fD5178586e5F478C81,0
0xC941aa67643B3B54531d70d19fB34ed287f32171,0
0x5240A5AdDaBa466b42C9B9E5e95DfB6fbfd9CB07,0
0xc45ed628997daEa764f2e0aD308E3D12D3F8D383,46194896708443537355567
0x299348CF3daC4782ED85569b4Ab0D7EE0E0aF6c4,4993113427939393149850897
0x30727B505059a7C511e97c591EeD6F5e02A497Bb,0
0x90c41319d32B488b0d27B022C553755D9785d3d4,0
0xD70f112337B1dB80CAE0A9f78E45794CA511E40c,74079797839735384763
0x3115ba406aD02D875ca84c0DC861B05e06CA684d,0
0xa312d1fb7cca1CB687C613897c4fd074a06fdA2C,0
0xCba1A275e2D858EcffaF7a87F606f74B719a8A93,100
0x113b84cDa038587f0e7a5e6bdb74Cb03CfCc4f23,1908175461845787213
0x44Cc0d90bCb3f21c193F8eDfeA9e1357fe5ea53d,2
0x420D0D6F47742C28195694351db8DbcC8D445939,1
0xD2FdaC6D756b541322a64F20C0b896e39682CC06,3481886087582163146789
0xdAc81B592a8D2733b0C9b4883148A1aEd9BB47CD,100
0xd69C9FB62F52339e7ad423CC56e44D83777ADE15,0
0x58F9c22215D85bF1fFdb43C3A61D1c63C73d0735,100
0x3D7849a51A2dA3B3B455ca6a6D604C902F82E7C2,0
0xc6C3c471e64FEC8684988D04deAD9a4E1f98587D,100
0x35F448644c86DbDa241ecb57F18a15c80F35a066,0
0xFb176A2ac9bAdE6E68a0a0570281ccEC1c4A4298,84059615827616516
0x5Cdb526e3024e5D4dE0212C8e02D92e504F63c4c,0
0x8FdD0CF22012a5FEcDbF77eF30d9e9834DC1bf0A,100
0xf89e388D02635F2A9B8Ab567618940829Bd9af07,434400496368023144
0xA3b705b33a441ff73789eD7C84d9D79976e1F11a,0
0xD2bC3F00F8B5Dd1159708ADA58B42a2B3Adb1Eea,100
0x59078D9DC379428cdD8A5a1AB870B420AE45c01d,0
0x1501cf2e9afD2624a485e675427609a1932772EC,100
0x12Dabef2e4252a3A19b9886B1e40deD62a1e1DC0,0
0xB3F039c970bcCF6Bc8b7e2f0C56c517287274531,0
0x683028Fc63477B8A702CFE7475865952d3E8ac09,2704924077177939199
0x2Ef7e6Ff8f52B47FC970d5240EB6b91aD0a9F3D5,0
