holderAddress,balance
0xA3a21aB1339E84Ec739fAe58325d87a3a609365f,9
0xDb8aA7376b32973A72A0a1AD5EAcBd3826EC9265,8
0xc45D05CDc809d20c7B14959E8cd4a1199E3e966F,0
0xfF983307058dA622633CFCD2caCE59A90532228c,0
0x51175c854CbB8EF620B31cD571a12283b2E7899c,0
0xF3863a31c14721aFBE0DE7638075F8ae7D5A9bc8,1
0x300C51e7D1143B1A959EB6896ECb17aa936AaE87,0
0x62BA33Ccc4a404456e388456C332D871DaE7ae9e,0
0xC2945Ab7579b4c05Def2cEA0f404268fc75952a2,1
0xE44537532eA2A3c61bA00a47B53396f8A3FD8a73,3
0xFc55a938A349DC526a4D633a8395a82ca661820F,5
0x43758aBAB288cdB791A9A5e3bEfCc3D1C82872ef,0
0xE611e1Fe5A69385593A76C934fdd90B0270A79e0,0
0x635cd6806D1Bc05B1D1d9D272CFDBdAa7B6289A3,4
0x60CdA0928851B6Fc181ed009A235D3BE0379A988,13
0x29f679b81B98449665E1Fde9FAA691700b7DC44D,0
0xaCb711A650f2E5535Cf18D420F8215AD81e32158,1
0x7f04Eb7bA1A3a05f6CB1100DD0173D68af94a728,8
0x4FC36C764818E99E40bD86ff578aCA6284AcBc9B,1
0x84940720Bb6AA5241a41c686A2D3F80f9EfF745f,12
0xf3D599e5806A9F58cA0c061AfAFc3E8382D16018,0
0xAee292935b5ad8d762969D2CbA931A3928dC753A,9
0x3d4134958B5741F367c48365600a868d031805D7,8
0xad44bC7014aFB024e46942F804B261f799c5A685,405065446
0x2899b72762299f247a1e240159C299B8fb8cC995,5
0xB0a8cB65906421Dbc0AA67C036d8949960061B09,0
0x3113AB5c691ECDAC25C07bBF2bf80EB005e4088C,5
0x4e81276E61dB7fddd1001EbD6EcBFA28E06A2136,0
0x98e5D5926207c5F3A93D3961C6Fd36886aE85bc8,11
0xc0e797Da188E78a77d62032e4A228921593Ac568,1
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,0
0x49063A7fF1e42f6B16aA70b692dFF344903A30c7,0
0x37f4eC19DC03eE55FB77576275385eff1B05997b,2
0x39DE56518e136d472Ef9645e7D6E1F7c6C8Ed37b,0
0x0a60631fff509EbF45A6e06309853eF1dd8C7101,1
